STATION_ID,STATION_NAME,FULL_STATION_NAME,STATION_NUMBER,STATION_TYPE,LATITUDE,LONGITUDE,STATUS,COUNTY_NAME,SAMPLE_CODE,SAMPLE_DATE,SAMPLE_DEPTH,SAMPLE_DEPTH_UNITS,PARAMETER,RESULT,REPORTING_LIMIT,UNITS,METHOD_NAME
10,CLIFTON,Clifton Court Intake,KA000000,Surface Water,37.8298,-121.557,Review Status Unknown,Contra Costa,DA1012B3651,2012-10-16T14:20:00,1,Meters,Dissolved Nitrate,0.9,0.1,mg/L,EPA 300.0 28d Hold
10,CLIFTON,Clifton Court Intake,KA000000,Surface Water,37.8298,-121.557,Review Status Unknown,Contra Costa,C1185A0175,1985-11-15T10:45:00,1,Meters,Dissolved Selenium,0,0.001,mg/L,EPA 270.3 (D)
10,CLIFTON,Clifton Court Intake,KA000000,Surface Water,37.8298,-121.557,Review Status Unknown,Contra Costa,OM1183A0401,1983-11-15T08:40:00,9,Feet,Dissolved Potassium,2.8,0.1,mg/L,EPA 258.1
10,CLIFTON,Clifton Court Intake,KA000000,Surface Water,37.8298,-121.557,Review Status Unknown,Contra Costa,D1116B0108,2016-11-14T14:20:00,1,Meters,Dissolved Selenium,0.001,0.001,mg/L,EPA 200.8 (D)
10,CLIFTON,Clifton Court Intake,KA000000,Surface Water,37.8298,-121.557,Review Status Unknown,Contra Costa,D1116B0108,2016-11-14T14:20:00,1,Meters,Dissolved Nitrate,3.3,0.1,mg/L,EPA 300.0 28d Hold
10,CLIFTON,Clifton Court Intake,KA000000,Surface Water,37.8298,-121.557,Review Status Unknown,Contra Costa,D1018B0117,2018-10-15T09:10:00,1,Meters,Dissolved Selenium,0.001,0.001,mg/L,EPA 200.8 (D)
10,CLIFTON,Clifton Court Intake,KA000000,Surface Water,37.8298,-121.557,Review Status Unknown,Contra Costa,DZ1001B0740,2001-10-16T13:30:00,1,Meters,Dissolved Nitrate,2.2,0.1,mg/L,EPA 300.0
10,CLIFTON,Clifton Court Intake,KA000000,Surface Water,37.8298,-121.557,Review Status Unknown,Contra Costa,DZ1001B0740,2001-10-16T13:30:00,1,Meters,Dissolved Potassium,3.4,0.5,mg/L,EPA 200.7 (D)
10,CLIFTON,Clifton Court Intake,KA000000,Surface Water,37.8298,-121.557,Review Status Unknown,Contra Costa,DZ1002B7415,2002-10-16T07:25:00,1,Meters,Dissolved Nitrate,2,0.1,mg/L,EPA 300.0
10,CLIFTON,Clifton Court Intake,KA000000,Surface Water,37.8298,-121.557,Review Status Unknown,Contra Costa,DZ1002B7415,2002-10-16T07:25:00,1,Meters,Dissolved Potassium,3.6,0.5,mg/L,EPA 200.7 (D)
